period,minute,second,play_pattern,team,match_id,match_time,ball_recovery,clearance,dispossessed,dribble,foul,interception,pass,shot,tackle
1,22,0,From Corner,Tunisia,3857254,0 days 00:22:00,0,1,0,0,0,0,0,0,0
1,22,1,From Corner,Denmark,3857254,0 days 00:22:01,0,0,0,0,0,0,1,0,0
1,22,4,From Corner,Denmark,3857254,0 days 00:22:04,0,0,0,0,0,0,1,0,0
1,22,5,From Corner,Denmark,3857254,0 days 00:22:05,0,0,0,0,0,0,0,1,0
1,22,6,From Corner,Tunisia,3857254,0 days 00:22:06,0,1,0,0,0,0,0,0,0
1,22,7,From Corner,Tunisia,3857254,0 days 00:22:07,0,1,0,0,0,0,0,0,0
1,22,8,From Corner,Denmark,3857254,0 days 00:22:08,1,0,0,0,0,0,0,0,0
1,22,9,From Corner,Denmark,3857254,0 days 00:22:09,0,0,0,0,0,0,0,1,0
1,22,21,From Keeper,Tunisia,3857254,0 days 00:22:21,0,0,0,0,0,0,1,0,0
1,22,24,From Keeper,Tunisia,3857254,0 days 00:22:24,0,0,0,0,0,0,1,0,0
1,22,25,From Keeper,Tunisia,3857254,0 days 00:22:25,0,0,0,0,0,0,1,0,0
1,22,28,From Keeper,Tunisia,3857254,0 days 00:22:28,0,0,0,0,0,0,1,0,0
1,23,8,From Free Kick,Denmark,3857254,0 days 00:23:08,0,0,0,0,0,0,1,0,0
1,23,13,From Free Kick,Denmark,3857254,0 days 00:23:13,0,0,0,0,0,0,1,0,0
1,23,14,From Free Kick,Denmark,3857254,0 days 00:23:14,0,0,0,0,0,0,1,0,0
1,23,19,From Throw In,Denmark,3857254,0 days 00:23:19,0,0,0,0,0,0,1,0,0
1,23,21,From Throw In,Denmark,3857254,0 days 00:23:21,0,0,0,0,0,0,1,0,0
1,23,24,From Throw In,Denmark,3857254,0 days 00:23:24,0,0,0,0,0,0,1,0,0
1,23,29,From Throw In,Denmark,3857254,0 days 00:23:29,0,0,0,0,0,0,1,0,0
1,23,31,From Throw In,Denmark,3857254,0 days 00:23:31,0,0,0,0,0,0,1,0,0
1,23,33,From Throw In,Denmark,3857254,0 days 00:23:33,0,0,0,0,0,0,1,0,0
1,23,34,From Throw In,Denmark,3857254,0 days 00:23:34,0,0,0,0,0,0,1,0,0
1,23,36,From Throw In,Denmark,3857254,0 days 00:23:36,0,0,0,0,0,0,1,0,0
1,23,38,From Throw In,Denmark,3857254,0 days 00:23:38,0,0,0,0,0,0,1,0,0
1,23,40,From Throw In,Denmark,3857254,0 days 00:23:40,0,0,0,0,0,0,1,0,0
1,23,43,From Throw In,Denmark,3857254,0 days 00:23:43,0,0,0,0,0,0,1,0,0
1,23,44,From Throw In,Denmark,3857254,0 days 00:23:44,0,0,0,0,0,0,1,0,0
1,23,45,From Throw In,Denmark,3857254,0 days 00:23:45,0,0,0,0,1,0,0,0,0
1,24,21,From Free Kick,Tunisia,3857254,0 days 00:24:21,0,0,0,0,0,0,1,0,0
1,24,24,From Free Kick,Denmark,3857254,0 days 00:24:24,0,0,0,0,0,0,1,0,0
1,24,26,From Free Kick,Tunisia,3857254,0 days 00:24:26,1,0,0,0,0,0,0,0,0
1,24,28,From Free Kick,Tunisia,3857254,0 days 00:24:28,0,0,0,0,0,0,1,0,0
1,24,30,From Free Kick,Tunisia,3857254,0 days 00:24:30,0,0,0,0,0,0,1,0,0
1,24,32,From Free Kick,Tunisia,3857254,0 days 00:24:32,0,0,0,0,0,0,1,0,0
1,24,33,From Free Kick,Denmark,3857254,0 days 00:24:33,0,0,0,0,0,0,1,0,0
1,24,37,From Free Kick,Denmark,3857254,0 days 00:24:37,0,0,0,0,0,0,1,0,0
1,24,37,From Free Kick,Tunisia,3857254,0 days 00:24:37,0,0,0,0,0,1,0,0,0
1,24,39,From Free Kick,Tunisia,3857254,0 days 00:24:39,0,0,1,0,0,0,0,0,0
1,24,39,From Free Kick,Denmark,3857254,0 days 00:24:39,0,0,0,0,0,0,0,0,1
1,25,3,From Throw In,Tunisia,3857254,0 days 00:25:03,0,0,0,0,0,0,1,0,0
1,25,5,From Throw In,Denmark,3857254,0 days 00:25:05,0,1,0,0,0,0,0,0,0
1,25,7,From Throw In,Tunisia,3857254,0 days 00:25:07,1,0,0,0,0,0,0,0,0
1,25,12,From Throw In,Tunisia,3857254,0 days 00:25:12,0,0,0,0,0,0,1,0,0
1,25,14,Regular Play,Denmark,3857254,0 days 00:25:14,1,0,0,0,0,0,0,0,0
1,25,15,Regular Play,Denmark,3857254,0 days 00:25:15,0,0,0,0,0,0,1,0,0
1,25,16,Regular Play,Denmark,3857254,0 days 00:25:16,0,0,0,0,0,0,1,0,0
1,25,18,Regular Play,Denmark,3857254,0 days 00:25:18,0,0,0,0,0,0,1,0,0
1,25,18,Regular Play,Denmark,3857254,0 days 00:25:18,0,0,0,0,0,0,1,0,0
1,25,19,Regular Play,Denmark,3857254,0 days 00:25:19,0,0,0,0,0,0,1,0,0
1,25,24,Regular Play,Denmark,3857254,0 days 00:25:24,0,0,0,0,0,0,1,0,0
1,25,26,Regular Play,Denmark,3857254,0 days 00:25:26,0,0,0,0,0,0,1,0,0
1,25,27,Regular Play,Denmark,3857254,0 days 00:25:27,0,0,0,0,0,0,1,0,0
1,25,29,Regular Play,Denmark,3857254,0 days 00:25:29,0,0,0,0,0,0,1,0,0
1,25,31,Regular Play,Denmark,3857254,0 days 00:25:31,0,0,0,0,0,0,1,0,0
1,25,33,Regular Play,Denmark,3857254,0 days 00:25:33,0,0,0,0,0,0,1,0,0
1,25,35,Regular Play,Denmark,3857254,0 days 00:25:35,0,0,0,0,0,0,1,0,0
1,25,40,Regular Play,Denmark,3857254,0 days 00:25:40,0,0,0,0,0,0,1,0,0
1,25,42,Regular Play,Denmark,3857254,0 days 00:25:42,0,0,0,0,0,0,1,0,0
1,25,45,Regular Play,Denmark,3857254,0 days 00:25:45,0,0,0,0,0,0,1,0,0
1,25,47,Regular Play,Denmark,3857254,0 days 00:25:47,0,0,0,0,0,0,1,0,0
1,25,49,Regular Play,Denmark,3857254,0 days 00:25:49,0,0,0,0,0,0,1,0,0
1,25,50,Regular Play,Denmark,3857254,0 days 00:25:50,0,0,0,0,0,0,1,0,0
1,25,53,Regular Play,Denmark,3857254,0 days 00:25:53,0,0,0,0,0,0,1,0,0
1,25,54,Regular Play,Denmark,3857254,0 days 00:25:54,0,0,0,0,0,0,1,0,0
1,25,56,Regular Play,Denmark,3857254,0 days 00:25:56,0,0,0,0,0,0,1,0,0
1,25,59,Regular Play,Denmark,3857254,0 days 00:25:59,0,0,0,0,0,0,1,0,0
1,26,3,Regular Play,Denmark,3857254,0 days 00:26:03,0,0,0,0,0,0,1,0,0
1,26,4,Regular Play,Denmark,3857254,0 days 00:26:04,0,0,0,0,0,0,1,0,0
1,26,7,Regular Play,Denmark,3857254,0 days 00:26:07,0,0,0,0,0,0,1,0,0
1,26,10,Regular Play,Denmark,3857254,0 days 00:26:10,0,0,0,0,0,0,1,0,0
1,26,15,Regular Play,Denmark,3857254,0 days 00:26:15,0,0,0,0,0,0,1,0,0
1,26,17,Regular Play,Denmark,3857254,0 days 00:26:17,0,0,0,0,0,0,1,0,0
1,26,20,Regular Play,Denmark,3857254,0 days 00:26:20,0,0,0,0,0,0,1,0,0
1,26,22,Regular Play,Denmark,3857254,0 days 00:26:22,0,0,0,0,0,0,1,0,0
1,26,23,Regular Play,Denmark,3857254,0 days 00:26:23,0,0,0,0,0,0,1,0,0
